#filename	 x_center	 y_center	 y1	 x1	 y2	 x2
0016p1_2_1 	 61 	 64	 48	 45	 81	 77
0234u1_3_1_1 	 95 	 63	 60	 90	 70	 100
0001p1_3_1_2 	 63 	 97	 83	 50	 112	 76
0036p1_1_1 	 62 	 60	 40	 40	 80	 85
0075p1_2_2 	 68 	 66	 50	 52	 71	 78
0011p1_1_2_2 	 66 	 80	 43	 47	 117	 85
0025p1_4_1 	 66 	 63	 38	 45	 89	 88
0062u1_1_1_2 	 66 	 59	 49	 49	 66	 72
0109u1_2_2_2 	 56 	 55	 42	 44	 69	 68
0022p1_3_2 	 62 	 62	 50	 49	 75	 75
0004p1_4_1 	 61 	 63	 45	 44	 82	 78
0174u1_4_2 	 37 	 65	 55	 26	 75	 48
0016p1_2_1 	 61 	 64	 48	 45	 81	 77
0234u1_3_1_1 	 95 	 65	 50	 80	 80	 110
0001p1_3_1_2 	 63 	 97	 83	 50	 112	 76
0036p1_1_1 	 62 	 60	 40	 40	 80	 85
0022p1_3_2 	 60 	 65	 42	 44	 69	 68
0022p1_3_2 	 62 	 62	 50	 49	 75	 75
0022p1_3_2 	 63 	 63	 50	 50	 76	 76
0001p1_3_1_2 	 62 	 98	 83	 45	 114	 80
0075p1_2_2 	 65 	 66	 50	 52	 83	 78
0075p1_2_2 	 65 	 66	 50	 52	 83	 78
0011p1_1_2_2 	 66 	 80	 43	 47	 117	 85
0062u1_1_1_2 	 66 	 59	 49	 50	 69	 72
0062u1_1_1_2 	 60 	 60	 46	 46	 75	 75
0062u1_1_1_2 	 65 	 60	 46	 46	 75	 85
0062u1_1_1_2 	 62 	 60	 46	 40	 75	 85
0062u1_1_1_2 	 57 	 57	 40	 40	 75	 75
0062u1_1_1_2 	 52 	 57	 40	 30	 75	 75
0062u1_1_1_2 	 55 	 57	 40	 35	 75	 75
0022p1_3_2 	 63 	 63	 50	 50	 76	 76
0022p1_3_2 	 60 	 60	 45	 45	 76	 76
0022p1_3_2 	 60 	 60	 40	 40	 80	 80
0022p1_3_2 	 60 	 60	 45	 45	 76	 76
0004p1_4_1 	 61 	 63	 45	 44	 82	 78
0004p1_4_1 	 64 	 61	 40	 40	 82	 88
0004p1_4_1 	 64 	 61	 40	 40	 82	 88
0174u1_4_2 	 39 	 65	 50	 26	 80	 52
0174u1_4_2 	 41 	 63	 50	 26	 76	 56
0174u1_4_2 	 37 	 65	 55	 26	 75	 48
0006s1_3_1_1 	 66 	 66	 58	 56	 74	 74
0008p1_3_1_2 	 67 	 62	 40	 40	 85	 94
0008p1_3_1_2 	 65 	 62	 40	 35	 85	 95
0027t1_1_2_2 	 60 	 60	 46	 46	 74	 74
0027t1_1_2_2 	 60 	 60	 46	 46	 74	 74
0027t1_1_2_2 	 60 	 60	 46	 46	 74	 74
0027t1_1_2_2 	 68 	 57	 40	 40	 75	 96
0019t1_3_1_2 	 67 	 64	 50	 35	 70	 77
0109u1_3_2 	 63 	 62	 52	 52	 70	 72
0109u1_3_2 	 63 	 62	 56	 55	 68	 69
0109u1_3_2 	 63 	 62	 50	 52	 70	 72
0109u1_3_2 	 63 	 62	 50	 49	 70	 72
0109u1_3_2 	 63 	 62	 50	 49	 70	 72
0109u1_3_2 	 63 	 62	 50	 55	 70	 72
0109u1_3_2 	 63 	 62	 50	 55	 70	 65
0109u1_3_2 	 63 	 62	 50	 55	 70	 68
0022p1_1_2 	 60 	 61	 50	 44	 72	 77
0109u1_1_1_2 	 59 	 67	 50	 46	 72	 70
0021t1_1_1 	 63 	 62	 50	 52	 75	 75
0021t1_1_1 	 62 	 63	 47	 45	 80	 80
0076u1_2_2 	 64 	 62	 52	 49	 73	 80
0037p1_2_2 	 65 	 63	 49	 54	 75	 75
0036p1_3_1 	 60 	 65	 40	 40	 90	 80
0197u1_2_2 	 44 	 16	 2	 32	 30	 57
0197u1_2_2 	 52 	 36	 24	 36	 49	 68
0197u1_2_2 	 52 	 35	 25	 40	 45	 64
0197u1_2_2 	 50 	 43	 26	 40	 60	 60
0025p1_2_1 	 75 	 92	 63	 55	 122	 96
0025p1_2_1 	 75 	 92	 63	 55	 122	 96
0025p1_2_1 	 73 	 92	 63	 50	 122	 96
0088b1_3_1_1 	 68 	 70	 48	 42	 93	 95
0088b1_3_1_1 	 67 	 70	 45	 39	 95	 95
0029p1_3_1 	 60 	 59	 29	 31	 90	 90
0029p1_3_1 	 60 	 46	 2	 31	 90	 90
0029p1_3_1 	 59 	 56	 29	 31	 83	 88
0050t1_1_1 	 60 	 68	 54	 53	 83	 67
0050t1_1_1 	 60 	 68	 54	 53	 83	 67
0050t1_1_1 	 62 	 66	 57	 56	 73	 70
0050t1_1_1 	 62 	 66	 57	 56	 73	 70
0061p1_4_2 	 60 	 60	 40	 40	 80	 80
0016p1_4_1 	 79 	 84	 60	 40	 100	 80
0213u1_1_2_2 	 66 	 96	 85	 55	 108	 78
0154u1_1_2 	 66 	 63	 53	 53	 74	 70
0154u1_1_2 	 60 	 65	 50	 50	 80	 70
0045t1_2_1 	 60 	 60	 30	 30	 90	 90
0072u1_1_1_2 	 62 	 60	 52	 52	 69	 69
0072u1_1_1_2 	 62 	 60	 55	 55	 63	 65
0072u1_1_1_2 	 62 	 60	 52	 52	 70	 70
0061u1_2_1_2 	 66 	 63	 53	 47	 71	 76
0061u1_2_1_2 	 66 	 63	 53	 47	 71	 76
0061u1_2_1_2 	 66 	 63	 53	 50	 70	 74
0061u1_2_1_2 	 66 	 63	 53	 50	 70	 76
0061u1_2_1_2 	 66 	 63	 53	 50	 69	 73
0061u1_2_1_2 	 66 	 63	 51	 50	 69	 73
0061u1_2_1_2 	 66 	 63	 51	 50	 71	 73
0004p1_2_1 	 66 	 67	 50	 60	 75	 80
0004p1_2_1 	 66 	 67	 55	 60	 75	 80
0004p1_2_1 	 70 	 80	 55	 60	 105	 80
0061u1_1_2_2 	 67 	 63	 50	 50	 75	 70
0061u1_1_2_2 	 67 	 62	 55	 55	 70	 80
0061u1_1_2_2 	 65 	 62	 55	 55	 70	 75
0008p1_2_1_1 	 56 	 61	 33	 33	 90	 80
